"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000065537","Mir132",3.086,-2.779,0.26271671779433,0.499480996544621,0.217,1.176
"ENSMUSG00000071650","Ganab",0.203,7.537,0.262858978664699,0.499695243725514,0.304,0.135
"ENSMUSG00000089875","Etohd2",-0.57,2.527,0.263095999206954,0.500089560697313,0.194,0.387
"ENSMUSG00000035007","Rundc1",-0.3,4.242,0.263133960336721,0.500104259535509,0.188,0.202
"ENSMUSG00000090877","Hspa1b",-0.411,10.771,0.263162923173733,0.500104259535509,0.351,0.284
"ENSMUSG00000054580","Pla2r1",-0.907,-0.073,0.263253388839433,0.500219921804648,0.131,0.598
"ENSMUSG00000078546","Zfp995",-0.477,2.867,0.263399174112829,0.500333536666936,0.185,0.323
"ENSMUSG00000027663","Zmat3",0.361,4.033,0.263379436096229,0.500333536666936,0.212,0.235
"ENSMUSG00000000131","Xpo6",0.197,6.665,0.263402008651264,0.500333536666936,0.259,0.131
"ENSMUSG00000024116","Prss21",4.381,-3.295,0.263610974038226,0.500662009497159,0.301,1.145
"ENSMUSG00000050627","Gpd1l",0.215,5.528,0.263634191058452,0.500662009497159,0.21,0.142
"ENSMUSG00000031847","1700030J22Rik",1.688,-1.405,0.263699412890834,0.500729596474808,0.167,0.901
"ENSMUSG00000047822","Angptl8",-2.143,-2.825,0.263820836353091,0.500847600572354,0.124,1.21
"ENSMUSG00000036814","Slc6a20a",-1.155,-1.371,0.263805194802203,0.500847600572354,0.107,0.717
"ENSMUSG00000047281","Sfn",0.529,2.467,0.263883540575047,0.500910364933402,0.186,0.337
"ENSMUSG00000021223","Papln",-1.984,-2.763,0.264135677997442,0.501066524957301,0.117,1.086
"ENSMUSG00000024868","Dkk1",1.582,-1.892,0.26420302623799,0.501066524957301,0.129,0.821
"ENSMUSG00000068686","Cd59b",1.109,-0.192,0.264199495161645,0.501066524957301,0.161,0.651
"ENSMUSG00000089996","Tmsb15b2",-1.28,0.011,0.264192742874855,0.501066524957301,0.184,0.869
"ENSMUSG00000025328","Padi3",0.925,0.459,0.264079547960717,0.501066524957301,0.167,0.56
"ENSMUSG00000024136","Dnase1l2",-0.974,0.503,0.264148767615209,0.501066524957301,0.169,0.653
"ENSMUSG00000034951","Cog7",0.261,5.016,0.264101178664293,0.501066524957301,0.213,0.172
"ENSMUSG00000017615","Tnfaip1",-0.231,5.152,0.264036111834041,0.501066524957301,0.196,0.156
"ENSMUSG00000018417","Myo1b",0.549,2.757,0.26426892223267,0.501079022429047,0.211,0.351
"ENSMUSG00000059820","AU019823",-0.278,4.398,0.264266533383417,0.501079022429047,0.184,0.188
"ENSMUSG00000100985","Gm10640",1.387,-1.399,0.26438530228989,0.501243446437178,0.134,0.742
"ENSMUSG00000029510","Gpc2",0.648,1.614,0.264488367789607,0.501382593550457,0.172,0.404
"ENSMUSG00000028016","Ints12",0.218,5.451,0.264568487159155,0.501478216042109,0.208,0.144
"ENSMUSG00000072762","4930522L14Rik",-0.816,1.068,0.264662212840555,0.501599604371883,0.171,0.557
"ENSMUSG00000090255","4921534H16Rik",4.394,-3.293,0.264732607061139,0.501620497210039,0.303,1.148
"ENSMUSG00000025155","Dus1l",-0.239,4.9,0.264731484567499,0.501620497210039,0.188,0.162
"ENSMUSG00000022595","Lypd2",-1.723,-2.569,0.264766189727012,0.501627881377627,0.107,0.995
"ENSMUSG00000026109","Tmeff2",-1.464,-1.539,0.264899630925476,0.501810683416843,0.128,0.932
"ENSMUSG00000067787","Blcap",0.361,3.908,0.264922068100465,0.501810683416843,0.205,0.235
"ENSMUSG00000032611","1700102P08Rik",1.594,-0.676,0.265030382078769,0.501959582645935,0.202,0.897
"ENSMUSG00000025602","Zfp202",-0.492,2.822,0.265106043530509,0.502025118553269,0.187,0.334
"ENSMUSG00000009112","Bcl2l13",0.233,5.029,0.265124402767746,0.502025118553269,0.195,0.153
"ENSMUSG00000037541","Shank2",-1.184,-1.477,0.265306031036283,0.502181542252536,0.107,0.71
"ENSMUSG00000023046","Igfbp6",-0.903,0.569,0.265322179577565,0.502181542252536,0.161,0.606
"ENSMUSG00000027879","Sec22b",-0.212,5.397,0.265313388674025,0.502181542252536,0.196,0.144
"ENSMUSG00000027312","Atrn",-0.227,5.438,0.265325885266342,0.502181542252536,0.208,0.155
"ENSMUSG00000026479","Lamc2",0.944,0.442,0.265375873415312,0.50221990244954,0.17,0.566
"ENSMUSG00000024603","Dctn4",0.207,6.107,0.265448495252808,0.50230108317827,0.236,0.137
"ENSMUSG00000028042","Zbtb7b",-0.224,6.126,0.265545606992903,0.502428582125861,0.242,0.153
"ENSMUSG00000047104","Pbp2",4.401,-3.293,0.265582661514924,0.502442433304879,0.304,1.151
"ENSMUSG00000029027","Dffb",-0.568,1.943,0.265743587395724,0.50246560812498,0.163,0.383
"ENSMUSG00000030839","Sergef",-0.393,3.377,0.265696676913882,0.50246560812498,0.182,0.267
"ENSMUSG00000025403","Shmt2",-0.248,4.931,0.26567511937108,0.50246560812498,0.195,0.168
"ENSMUSG00000029759","Pon3",0.23,5.964,0.26573318837358,0.50246560812498,0.245,0.153
"ENSMUSG00000024387","Csnk2b",-0.194,6.122,0.265691822134907,0.50246560812498,0.221,0.132
"ENSMUSG00000029178","Klf3",-0.212,5.665,0.266025339394046,0.502942065907428,0.21,0.144
"ENSMUSG00000040364","Sec1",4.326,-3.325,0.26611371299733,0.503052860748281,0.29,1.152
"ENSMUSG00000041216","Clvs1",-2.158,-2.798,0.266171881763366,0.503106538930354,0.126,1.218
"ENSMUSG00000034009","Rxfp1",2.328,-2.761,0.266314638612139,0.503263784753737,0.151,0.871
"ENSMUSG00000092192","Dyx1c1",-1.428,-0.937,0.266289981381824,0.503263784753737,0.153,0.944
"ENSMUSG00000033790","Tubgcp5",1.427,2.277,0.266450613524723,0.503351868903384,0.368,0.85
"ENSMUSG00000050592","Fam78a",0.436,3.178,0.266432997679661,0.503351868903384,0.194,0.282
"ENSMUSG00000035877","Zhx3",0.426,3.22,0.266416589626972,0.503351868903384,0.192,0.276
"ENSMUSG00000060675","Pla2g16",0.26,4.705,0.266653487024359,0.503622512991798,0.194,0.171
"ENSMUSG00000030695","Aldoa",-0.199,9.558,0.266635513430469,0.503622512991798,0.336,0.137
"ENSMUSG00000022181","C6",0.88,1.139,0.266720889624994,0.503693517309249,0.2,0.537
"ENSMUSG00000030727","Rabep2",0.295,4.499,0.266766028159112,0.503722465508176,0.203,0.194
"ENSMUSG00000002814","Top3a",-0.291,4.271,0.266869434618588,0.503861419685464,0.183,0.198
